"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
"89",62,87,60,2,29,69,15,2,33,73,19,78,38,85,13,0,49,99,28,0,4,81,83,18,0,29,63,28,60,0,24,53,47,62,0,2,64,94,28,0,8
"90",1,78,89,65,8,25,91,29,56,53,12,86,8,33,87,0,57,90,86,36,46,87,71,54,0,88,11,1,88,25,70,27,2,54,63,13,72,94,100,53,8
"91",26,86,93,69,13,81,48,0,44,71,49,76,60,78,18,5,24,70,73,0,0,0,31,85,2,0,0,78,40,0,0,26,91,9,0,2,69,33,0,0,9
"92",39,81,96,80,27,87,23,22,92,75,22,72,79,99,50,0,0,17,97,19,0,0,40,86,3,0,0,80,50,0,0,19,90,14,0,0,64,39,0,0,9
"93",16,72,95,83,73,91,34,12,44,70,72,58,36,79,61,5,29,49,91,52,0,0,13,93,27,0,0,54,84,1,0,15,92,31,0,0,57,74,0,0,9
"94",1,51,90,80,73,67,61,6,50,67,90,5,47,87,51,73,95,51,51,31,0,0,0,85,10,0,0,15,79,0,0,1,57,45,0,0,7,91,9,0,9
"95",8,55,91,78,48,84,31,4,62,68,60,2,10,88,63,58,77,66,77,47,0,0,4,99,6,0,0,53,68,0,0,11,92,8,0,0,33,67,0,0,9
"96",30,83,96,88,47,87,57,10,47,95,81,14,16,98,48,63,71,63,100,28,0,26,46,88,6,0,0,50,54,0,0,4,87,14,0,0,36,60,0,0,9
"97",11,61,98,79,33,86,44,13,71,90,92,73,82,94,77,6,3,11,91,33,0,0,34,97,10,0,0,75,64,0,0,13,96,28,0,0,61,62,0,0,9
"98",20,79,72,51,52,77,23,0,23,59,84,40,45,92,59,5,37,23,91,22,0,0,22,76,0,0,0,60,51,0,0,11,68,5,0,0,50,11,0,0,9
"99",16,65,91,88,16,90,45,7,18,77,77,35,26,81,69,47,79,46,75,34,0,0,14,93,6,0,0,60,54,0,0,33,85,4,0,0,61,46,0,0,9
"100",22,70,98,82,59,92,30,15,14,88,78,13,15,84,54,43,75,61,95,50,0,0,5,94,13,0,0,41,62,0,0,5,85,18,0,0,50,45,0,0,9
"101",11,74,86,46,0,66,100,93,83,21,95,94,15,36,58,100,46,0,32,79,81,26,2,76,74,46,73,82,99,25,1,79,96,47,0,0,50,8,0,0,0
"102",3,74,93,50,0,28,95,44,62,28,74,57,0,5,65,95,37,0,0,74,77,0,0,4,82,69,0,0,38,54,40,40,61,82,7,6,75,75,13,0,0
"103",0,75,79,21,0,17,99,70,66,7,49,98,4,5,41,73,75,0,0,53,92,25,3,3,82,76,0,16,62,58,62,83,95,75,3,10,76,41,18,0,0
"104",0,50,77,0,0,0,65,100,34,0,12,94,62,75,4,49,93,10,3,22,82,56,0,0,38,84,20,0,7,57,57,35,46,76,34,12,86,88,29,0,0
"105",0,23,73,3,0,0,65,100,55,0,18,94,62,44,30,65,96,13,1,72,92,52,0,26,71,86,28,17,63,69,50,81,90,91,44,10,90,87,27,0,0
"106",34,80,56,3,0,0,29,100,74,0,6,86,42,46,29,47,44,0,1,61,76,12,0,0,74,80,1,0,2,76,70,0,23,75,45,43,94,89,43,0,0
"107",9,82,66,21,0,50,98,59,88,13,76,33,0,16,67,89,6,0,0,49,87,2,0,0,29,84,2,0,8,47,59,60,47,84,33,15,86,86,26,1,0
"108",2,71,82,18,0,35,71,12,76,12,37,76,86,23,45,23,100,20,1,71,50,72,20,1,82,87,13,0,19,79,75,11,7,79,34,29,82,91,47,0,0
"109",5,93,82,34,0,30,89,19,60,24,55,50,0,11,69,80,61,11,1,73,79,0,0,1,79,77,0,0,34,59,60,8,27,82,21,25,95,88,22,0,0
"110",21,32,86,39,0,41,100,77,74,7,56,98,10,41,39,70,92,1,8,73,86,61,21,3,93,83,8,39,18,83,76,4,24,81,35,42,96,85,26,0,0
"111",0,47,100,58,0,0,32,100,100,37,0,15,91,100,49,0,0,85,100,85,0,18,98,100,68,0,21,100,98,35,0,46,100,97,19,17,29,84,98,21,1
"112",9,81,100,81,31,81,100,100,100,40,79,100,100,100,40,76,100,100,100,50,76,100,100,100,40,62,100,100,100,87,100,100,100,100,50,16,72,90,100,22,1
